_id,donation_a_pets,donation_b_art,donation_c_education,donation_d_environment,donation_e_health,donation_f_human,donation_g_international,donation_h_faith,donation_i_veteran,time,userId,isQV,
5e62cde36ffda4487364f75a,10,0,0,0,0,0,0,5,5,25:39.2,5e62c99c6ffda4487364f757,2,5e62c99c6ffda4487364f757
5e62d7fdef25df51135385bf,2,0,0,0,5,5,0,0,5,08:45.6,5e62d3746ffda4487364f760,1,5e62d3746ffda4487364f760
5e636716ab9c7a51ed5b57e6,3,1,10,15,2,2,0,0,2,19:18.7,5e6363eaab9c7a51ed5b57e2,1,5e6363eaab9c7a51ed5b57e2
5e63ffdbb7375d865ecb6e5f,0,0,0,0,0,0,0,0,0,11:07.8,5e63fde404f53cb40efd2cdb,2,5e63fde404f53cb40efd2cdb
5e6411fa789957f84988d13c,0,0,0,0,0,0,0,0,0,28:26.6,5e640f66ae7e33fbc93cdd0b,1,5e640f66ae7e33fbc93cdd0b
5e6412cb789957f84988d140,0,0,0,0,0,0,0,0,0,31:55.9,5e641122789957f84988d131,1,5e641122789957f84988d131
5e642cf764a3fd81b68688f9,0,0,0,0,0,15,0,0,10,23:35.6,5e642789227b657a749950e5,2,5e642789227b657a749950e5
5e64b313a178bbb7c3b63322,5,0,0,0,0,5,0,0,0,55:47.2,5e64adba54fc700d6d481f58,1,5e64adba54fc700d6d481f58
5e64b594a178bbb7c3b63325,0,0,0,0,0,0,0,0,0,06:28.5,5e64b02354fc700d6d481f59,1,5e64b02354fc700d6d481f59
5e65058f9472cb582b7b95d7,0,0,0,5,0,5,0,0,0,47:43.5,5e6501599472cb582b7b95d2,1,5e6501599472cb582b7b95d2
5e65363c5e86b96e9cad5933,0,0,10,0,20,5,0,0,0,15:24.8,5e65325e5e86b96e9cad5930,1,5e65325e5e86b96e9cad5930
5e653b59b07dd22d67cbf0fa,0,0,0,0,0,0,0,0,0,37:13.1,5e653707b07dd22d67cbf0f5,2,5e653707b07dd22d67cbf0f5
5e65486297615b6f9eb23709,0,0,0,0,0,0,0,0,0,32:50.2,5e65458097615b6f9eb23702,2,5e65458097615b6f9eb23702
5e6566a6d7a1ad88f0ff1987,0,0,0,35,0,0,0,0,0,41:58.9,5e65639b582f43ea63a7c621,2,5e65639b582f43ea63a7c621
5e657855d7a1ad88f0ff1997,0,0,2,2,2,3,2,0,3,57:26.0,5e65743dd7a1ad88f0ff1990,2,5e65743dd7a1ad88f0ff1990
5e65879efe502a94cd3068b2,0,0,0,0,0,0,0,0,0,02:38.6,5e658375fe502a94cd3068aa,1,5e658375fe502a94cd3068aa
5e658d29589199f402cad4dd,5,0,0,0,0,0,0,0,0,26:17.1,5e6588e6fe502a94cd3068b4,2,5e6588e6fe502a94cd3068b4
5e659555589199f402cad4e2,0,0,0,20,10,5,0,0,0,01:09.5,5e658f89589199f402cad4de,1,5e658f89589199f402cad4de
5e66401a4e03dda6b1aa3652,1,0,0,1,0,0,0,0,0,09:46.3,5e663c7f4e03dda6b1aa364d,1,5e663c7f4e03dda6b1aa364d
5e66468c4e03dda6b1aa365a,0,0,0,0,0,0,0,0,0,37:16.7,5e6643734e03dda6b1aa3654,2,5e6643734e03dda6b1aa3654
