_id,donation_a_pets,donation_b_art,donation_c_education,donation_d_environment,donation_e_health,donation_f_human,donation_g_international,donation_h_faith,donation_i_veteran,time,userId,isQV
5e62c70def25df51135385af,0,0,0,5,0,0,0,0,0,56:29.8,5e62c4156ffda4487364f751,1
5e63ffdbb7375d865ecb6e5f,0,0,0,0,0,0,0,0,0,11:07.8,5e63fde404f53cb40efd2cdb,1
5e641352789957f84988d141,0,0,0,0,0,5,5,0,0,34:10.4,5e640f2eae7e33fbc93cdd09,2
5e6411fa789957f84988d13c,0,0,0,0,0,0,0,0,0,28:26.6,5e640f66ae7e33fbc93cdd0b,2
5e641842789957f84988d149,10,0,0,10,10,0,0,0,5,55:14.3,5e64113fae7e33fbc93cdd10,2
5e648f4c23530f5bd5b24199,0,0,2,0,0,2,0,0,0,23:08.1,5e6488ec23530f5bd5b24194,2
5e64b313a178bbb7c3b63322,5,0,0,0,0,5,0,0,0,55:47.2,5e64adba54fc700d6d481f58,2
5e64b594a178bbb7c3b63325,0,0,0,0,0,0,0,0,0,06:28.5,5e64b02354fc700d6d481f59,2
5e64e095f1e90e2fed0f2376,0,0,0,10,0,0,0,0,0,09:57.0,5e64db6e8fa94cf0fc4d2da8,1
5e64f3389472cb582b7b95c7,0,0,0,0,3,5,0,0,27,29:28.8,5e64eeea15730e913ec09a2f,1
5e64faaf9472cb582b7b95d1,0,0,0,5,0,0,0,0,0,01:19.0,5e64f7239472cb582b7b95cd,2
5e6524ddb07dd22d67cbf0ec,25,0,0,0,0,0,0,0,0,01:17.8,5e6520fbb07dd22d67cbf0e7,1
5e652ad75e86b96e9cad592c,0,0,0,0,0,0,0,0,0,26:47.9,5e6526795e86b96e9cad5926,1
5e653b59b07dd22d67cbf0fa,0,0,0,0,0,0,0,0,0,37:13.1,5e653707b07dd22d67cbf0f5,1
5e65b026c7e3ac57bd77be9d,0,0,0,0,0,0,0,0,0,55:35.0,5e65ad384bf44833d0d2d9da,1
