userId,pets,art,education,environment,health,human,international,faith,veteran,order
62ded8f8ff378df9a0d3080c,3,4,23,18,13,19,11,-2,54,increase
62dedc47d1827047a2042384,2,2,1,0,1,1,-1,-1,1,increase
62dedd20d1827047a2042386,5,10,20,42,25,35,10,5,10,first
62dee2f5d1827047a2042395,27,13,39,28,35,9,7,0,4,increase
62dee339ff378df9a0d3081b,13,21,32,22,31,19,13,8,3,first
62def0f9d1827047a20423b1,39,13,25,23,10,6,12,13,21,increase
62df8d7e6181cc219f31a139,15,21,37,27,14,23,9,8,8,increase
62df8eac11c9173f22099e97,10,-1,3,2,10,2,1,-2,1,increase
62df8ec16181cc219f31a143,15,14,26,32,41,17,5,2,-10,first
62df911911c9173f22099eb7,21,12,53,21,24,19,4,4,4,first
62df91756181cc219f31a165,16,21,26,20,30,23,8,9,9,increase
62df920c11c9173f22099ec5,2,-1,2,14,0,1,-1,0,0,increase
62df92636181cc219f31a174,14,22,28,18,19,19,10,18,14,increase
62df92a811c9173f22099ecf,0,3,0,3,11,0,6,-3,-3,increase
62df93e911c9173f22099ee4,47,57,58,0,0,0,0,0,0,first
62df94e56181cc219f31a1a6,15,18,27,20,8,16,22,18,18,first
62df958d11c9173f22099f02,8,19,36,38,13,0,16,16,16,first
62df95f06181cc219f31a1bd,44,31,36,21,11,5,4,5,5,first
62df96716181cc219f31a1c6,29,10,22,12,16,9,20,14,-30,first
62df96ad6181cc219f31a1c9,139,23,0,0,0,0,0,0,0,first
62df97a611c9173f22099f21,36,57,69,0,0,0,0,0,0,first
62df999c6181cc219f31a1e7,15,-15,22,22,14,11,17,18,28,increase
62df9a6011c9173f22099f4f,1,2,5,4,7,4,3,-2,-1,first
62df9abb11c9173f22099f56,15,3,20,37,38,26,14,4,5,first
62df9ae011c9173f22099f58,1,1,1,1,1,1,1,1,1,first
62df9b9711c9173f22099f61,22,14,14,24,19,18,14,24,13,increase
62df9c8a6181cc219f31a211,0,0,0,0,0,47,56,59,0,increase
62df9df16181cc219f31a228,0,0,0,3,4,2,1,1,1,first
62df9ed26181cc219f31a236,30,-5,18,-6,9,-8,8,7,10,increase
62df9edc6181cc219f31a237,12,20,5,0,0,0,42,38,45,increase
62df9f056181cc219f31a23b,0,0,0,0,0,0,0,0,0,increase
62dfa12f6181cc219f31a25f,1,1,-1,1,1,1,0,2,0,increase
62dfa1f111c9173f22099fcb,7,9,109,22,8,4,2,0,1,increase
62dfa22f6181cc219f31a267,0,0,0,0,0,0,35,16,20,increase
62dfa34a11c9173f22099fdf,13,17,10,27,33,22,32,4,4,first
62dfa66c11c9173f22099fee,8,8,18,49,48,8,8,6,9,first
62dfa98911c9173f22099ff4,8,4,55,52,43,0,0,0,0,first
62dfab176181cc219f31a28d,7,7,15,8,8,-4,-5,-5,8,first
62dfb18d11c9173f2209a012,14,12,18,24,30,20,22,12,10,first
62dfb23f6181cc219f31a2b6,8,9,33,39,36,7,6,18,6,increase
62dfbc1f6181cc219f31a2cc,27,15,0,0,34,20,25,26,15,increase
62dfbe676181cc219f31a2d2,11,16,25,27,21,16,17,14,15,increase
62e03951bbe3abcacefedf38,5,3,10,3,10,10,5,-5,20,first
62e039991619d98e694304e3,2,10,10,9,17,5,4,3,2,first
62e039fb1619d98e694304e7,6,11,22,26,24,24,26,13,10,first
62e03bcfbbe3abcacefedf4f,1,1,4,5,1,3,-1,0,4,increase
62e03c921619d98e694304ff,6,0,3,3,0,0,0,0,0,first
62e0401e1619d98e69430534,20,20,20,20,62,20,0,0,0,first
62e040cabbe3abcacefedf90,0,0,9,0,0,0,0,0,-1,first
62e045531619d98e69430583,0,12,29,11,27,22,16,19,26,increase
62e04693bbe3abcacefedfd4,3,6,14,5,10,2,1,-26,0,increase
62e046a8bbe3abcacefedfd6,4,7,6,7,9,5,9,6,5,first
62e047aa1619d98e6943059f,16,20,60,19,14,19,14,0,0,increase
62e047e01619d98e694305a4,13,13,45,40,23,13,9,4,2,first
62e0481e1619d98e694305a9,3,5,5,4,6,3,3,3,10,first
62e04a29bbe3abcacefee007,5,10,10,10,10,10,-25,10,0,increase
62e04b581619d98e694305ca,5,2,24,44,13,16,5,5,48,increase
62e050db1619d98e69430603,0,0,17,27,15,17,12,20,25,increase
62e0521b1619d98e6943060d,19,15,33,20,9,13,20,18,15,increase
62e0531e1619d98e69430617,20,14,11,11,11,10,13,11,10,first
62e054ff1619d98e69430620,11,11,26,9,22,11,9,-6,0,increase
62e055bfbbe3abcacefee07a,27,26,6,25,6,23,14,25,10,increase
62e05a3a1619d98e69430647,27,19,19,21,23,17,12,18,6,first
62e05a3f1619d98e69430648,11,9,14,8,5,5,4,4,4,first
62e05b76bbe3abcacefee0a4,49,42,42,29,0,0,0,0,0,first
62e05be0bbe3abcacefee0a7,30,28,23,31,9,10,12,5,14,increase
62e05cfabbe3abcacefee0b2,9,7,39,16,34,23,13,13,8,first
62e05ee1bbe3abcacefee0c9,30,32,30,25,26,19,0,0,0,increase
62e05ef1bbe3abcacefee0cb,7,-6,5,-6,8,-8,9,10,10,increase
62e05f151619d98e69430673,55,31,13,32,7,7,6,6,5,first
62e060c81619d98e6943067f,9,10,24,19,26,19,25,15,15,first
62e060e3bbe3abcacefee0dd,37,18,33,17,0,17,12,-14,14,increase
62e0624dbbe3abcacefee0e6,13,8,45,10,70,3,8,3,2,first
62e06313bbe3abcacefee0ec,22,22,20,23,25,16,11,12,11,first
62e085441619d98e694306c8,30,10,20,27,25,16,8,12,12,first
62e0b249b714051771a01c80,2,4,4,5,5,6,4,5,6,increase
62e76744330b71d27bb9f45a,1,3,9,2,4,2,0,0,0,increase
62e76762330b71d27bb9f45b,0,4,12,0,10,18,0,0,0,increase
62e767a072b19f2a83d38938,5,0,50,0,30,52,25,0,0,first
62e7691f330b71d27bb9f472,2,3,5,3,5,5,2,5,2,first
62e76b4e330b71d27bb9f486,19,6,16,7,17,73,7,7,10,first
62e76eee72b19f2a83d3898a,0,10,0,1,14,0,3,3,10,increase
62e76f93330b71d27bb9f4c2,0,0,23,18,17,28,25,29,22,increase
62e7700a330b71d27bb9f4ce,14,15,22,21,30,13,28,11,8,increase
