userId,donation_g_international,donation_e_health,donation_c_education,donation_d_environment,donation_f_human,donation_a_pets,donation_b_art,donation_i_veteran,donation_h_faith
62ded8f8ff378df9a0d3080c,3,2,4,2,1,3,2,1,1
62dedc47d1827047a2042384,0,0,0,0,0,0,0,0,0
62dedd20d1827047a2042386,0,0,0,5,0,0,0,0,0
62dee2f5d1827047a2042395,3,5,5,2,2,0,0,0,0
62dee339ff378df9a0d3081b,10,5,0,0,10,5,0,0,5
62def0f9d1827047a20423b1,5,0,0,5,5,5,5,5,5
62df8d7e6181cc219f31a139,2,6,5,2,3,3,5,5,4
62df8eac11c9173f22099e97,0,2,0,2,0,0,0,0,0
62df8ec16181cc219f31a143,5,5,5,5,5,0,0,5,5
62df911911c9173f22099eb7,5,10,1,2,2,2,3,8,2
62df91756181cc219f31a165,5,1,10,1,2,5,3,3,5
62df920c11c9173f22099ec5,2,2,2,2,1,4,1,1,2
62df92636181cc219f31a174,6,1,6,2,6,10,1,3,2
62df92a811c9173f22099ecf,4,5,5,3,3,3,4,4,4
62df93e911c9173f22099ee4,5,2,2,5,1,3,5,2,10
62df94e56181cc219f31a1a6,0,0,15,10,0,0,0,0,10
62df958d11c9173f22099f02,10,0,0,10,0,5,0,10,0
62df95f06181cc219f31a1bd,1,1,1,8,2,3,9,5,5
62df96716181cc219f31a1c6,1,2,1,4,3,2,10,5,1
62df96ad6181cc219f31a1c9,4,5,2,5,5,4,5,1,5
62df97a611c9173f22099f21,2,5,10,2,5,5,1,3,2
62df999c6181cc219f31a1e7,1,5,5,2,5,5,2,5,5
62df9a6011c9173f22099f4f,0,0,0,1,0,1,0,0,0
62df9abb11c9173f22099f56,2,5,5,2,10,5,2,2,2
62df9ae011c9173f22099f58,0,0,5,5,5,5,5,5,5
62df9b9711c9173f22099f61,2,3,1,2,2,10,6,7,2
62df9c8a6181cc219f31a211,5,2,5,1,6,5,5,5,1
62df9df16181cc219f31a228,3,2,1,1,5,3,1,1,2
62df9ed26181cc219f31a236,0,20,0,0,0,10,2,3,0
62df9edc6181cc219f31a237,1,1,1,1,1,1,1,1,1
62df9f056181cc219f31a23b,1,1,1,1,1,1,1,1,1
62dfa12f6181cc219f31a25f,0,5,6,10,5,0,5,1,3
62dfa1f111c9173f22099fcb,1,9,0,10,0,0,15,0,0
62dfa22f6181cc219f31a267,0,0,15,0,0,0,20,0,0
62dfa34a11c9173f22099fdf,7,2,3,2,5,5,1,4,6
62dfa66c11c9173f22099fee,5,2,5,2,10,5,2,2,2
62dfa98911c9173f22099ff4,3,0,5,2,5,5,6,4,5
62dfab176181cc219f31a28d,5,5,5,5,2,2,4,5,2
62dfb18d11c9173f2209a012,0,0,10,0,15,0,10,0,0
62dfb23f6181cc219f31a2b6,1,1,1,1,1,1,1,1,1
62dfbc1f6181cc219f31a2cc,5,0,5,5,5,0,5,5,5
62dfbe676181cc219f31a2d2,3,5,3,5,5,2,3,2,7
62e03951bbe3abcacefedf38,0,0,0,0,0,0,0,0,0
62e039991619d98e694304e3,5,0,10,0,15,0,5,0,0
62e039fb1619d98e694304e7,0,4,5,2,4,6,4,5,5
62e03bcfbbe3abcacefedf4f,0,2,0,0,0,0,0,0,0
62e03c921619d98e694304ff,1,1,0,1,1,1,1,1,1
62e0401e1619d98e69430534,0,5,0,0,0,0,0,0,0
62e040cabbe3abcacefedf90,1,1,1,1,1,1,1,0,1
62e045531619d98e69430583,0,20,0,0,0,0,15,0,0
62e04693bbe3abcacefedfd4,1,3,1,2,2,1,0,1,0
62e046a8bbe3abcacefedfd6,1,1,0,1,1,1,0,0,0
62e047aa1619d98e6943059f,1,1,1,1,1,1,1,1,1
62e047e01619d98e694305a4,10,1,1,1,1,1,1,10,1
62e0481e1619d98e694305a9,0,0,0,0,0,0,0,0,0
62e04a29bbe3abcacefee007,0,0,0,0,1,0,0,0,1
62e04b581619d98e694305ca,2,1,1,5,5,10,1,5,5
62e050db1619d98e69430603,0,8,8,3,10,0,0,0,5
62e0521b1619d98e6943060d,0,0,0,0,0,0,0,0,0
62e0531e1619d98e69430617,0,0,0,0,10,0,15,0,10
62e054ff1619d98e69430620,5,3,3,2,5,5,4,4,4
62e055bfbbe3abcacefee07a,0,0,0,0,0,0,0,0,0
62e05a3a1619d98e69430647,0,0,0,0,0,0,0,0,0
62e05a3f1619d98e69430648,1,1,1,2,2,1,1,2,2
62e05b76bbe3abcacefee0a4,2,2,1,1,1,1,2,2,1
62e05be0bbe3abcacefee0a7,1,1,2,1,1,1,2,1,2
62e05cfabbe3abcacefee0b2,0,0,0,0,0,0,0,0,0
62e05ee1bbe3abcacefee0c9,1,2,1,2,2,1,1,1,2
62e05ef1bbe3abcacefee0cb,0,0,0,0,0,0,0,0,0
62e05f151619d98e69430673,2,1,2,1,2,1,1,2,1
62e060c81619d98e6943067f,0,0,0,0,0,0,0,0,0
62e060e3bbe3abcacefee0dd,5,10,0,5,0,4,5,6,0
62e0624dbbe3abcacefee0e6,0,0,0,0,0,0,0,0,0
62e06313bbe3abcacefee0ec,2,1,1,1,2,1,2,1,2
62e085441619d98e694306c8,1,1,1,1,1,1,1,1,1
62e0b249b714051771a01c80,1,1,1,1,1,1,1,1,1
62e76744330b71d27bb9f45a,1,0,0,8,24,0,1,1,0
62e76762330b71d27bb9f45b,0,0,0,0,10,0,0,0,0
62e767a072b19f2a83d38938,15,0,0,0,15,0,0,0,0
62e7691f330b71d27bb9f472,1,2,2,2,5,2,1,1,1
62e76b4e330b71d27bb9f486,0,5,0,5,0,5,0,0,0
62e76eee72b19f2a83d3898a,0,1,1,1,1,1,0,0,0
62e76f93330b71d27bb9f4c2,0,0,0,0,0,0,0,0,0
62e7700a330b71d27bb9f4ce,0,5,0,10,10,0,0,0,10
62e771cc72b19f2a83d389c0,10,0,0,0,0,10,15,0,0
62e7722872b19f2a83d389c9,5,5,5,4,2,1,3,3,2
62e7726a72b19f2a83d389ce,0,0,0,0,0,0,0,0,0
62e7763372b19f2a83d38a0e,0,0,0,0,0,0,0,0,0
62e7766372b19f2a83d38a10,0,0,0,0,0,0,0,0,0
62e77bfc72b19f2a83d38a40,5,0,5,3,4,5,4,5,4
62e77cc972b19f2a83d38a45,5,2,2,2,5,5,4,4,2
62e77e53330b71d27bb9f573,2,5,5,4,2,2,4,5,5
62e784f272b19f2a83d38a82,0,1,3,0,2,4,0,0,0
62e7859372b19f2a83d38a84,4,4,4,4,2,4,4,4,5
62e79e7e330b71d27bb9f5c6,5,3,5,1,2,3,9,5,2
62e7a2ba330b71d27bb9f5d1,2,5,5,3,3,5,5,2,5
62e7a32a330b71d27bb9f5d4,4,4,3,6,5,3,4,0,6
62e7a42e330b71d27bb9f5d9,7,1,4,5,4,1,2,5,6
62f56311b47a2cd650a8d98a,1,1,1,1,1,1,1,1,1
62f58143311b9c58ab6fff42,1,1,10,1,1,5,5,10,1
62f5a137b47a2cd650a8d9ac,2,1,0,1,1,1,1,2,1
