userId,pets,art,education,environment,health,human,international,faith,veteran,order
61cce034ba78498af54e5e15,3,4,5,4,4,4,2,1,1,first
61cce3afba78498af54e5e19,2,2,3,3,4,0,4,2,4,first
61cce5dd2abead1afecf8b71,2,2,3,1,0,2,-1,-2,2,first
61cce84a2abead1afecf8b77,0,5,2,3,4,3,3,0,0,first
61ccf2ec2abead1afecf8b86,1,1,2,0,1,2,0,0,-2,first
61ccf5082abead1afecf8b8c,27,5,18,35,0,6,2,-7,6,first
61ccfcefba78498af54e5e31,3,-1,4,6,7,4,3,-1,2,first
61ce4075a12dae9518a23036,2,0,0,0,2,0,0,0,-1,first
61ce407d35a31ef7490adf1a,0,8,3,0,5,1,2,1,1,first
61ce40a935a31ef7490adf1b,3,1,4,5,3,2,0,0,2,first
61ce411135a31ef7490adf1e,2,1,5,9,3,2,1,-1,3,first
61ce41a135a31ef7490adf20,3,5,9,8,0,0,0,0,0,first
61ce423335a31ef7490adf23,1,1,3,1,3,1,2,2,2,first
61ce4325a12dae9518a23042,-1,1,1,1,1,2,-1,2,1,first
61ce4643a12dae9518a2305d,3,3,6,4,4,2,4,2,2,first
61ce472e35a31ef7490adf44,2,1,1,1,2,1,-2,2,3,first
61ce4a1035a31ef7490adf51,1,1,0,0,1,-1,0,-1,-1,first
61ce4ea4a12dae9518a23082,1,0,0,1,0,0,0,1,0,first
61ce4f51a12dae9518a23087,1,5,17,2,24,0,0,8,15,first
61ce4f6da12dae9518a23088,-1,1,1,1,-1,1,1,1,1,first
61ce4fae35a31ef7490adf62,2,2,2,2,3,3,2,2,2,first
61ce5a7e35a31ef7490adf9e,1,2,1,-1,1,-1,1,-1,1,first
61ce5e3035a31ef7490adfae,1,-1,-1,2,-1,0,1,0,1,first
61ce5fbaa12dae9518a230cd,1,2,3,4,-2,2,1,1,1,first
61ce6056a12dae9518a230cf,1,1,1,2,1,1,0,0,1,first
61ce60b4a12dae9518a230d2,1,3,4,-2,2,-1,2,-1,2,first
61ce6317a12dae9518a230de,1,4,5,3,2,-2,-2,1,1,first
61ce633735a31ef7490adfc8,2,2,15,6,2,3,1,0,2,first
61ce6576a12dae9518a230e8,1,-1,5,-2,3,0,0,-14,22,first
61ce9263e925849384b1a6ef,1,1,1,-1,-1,1,1,1,1,first
61ce9ddbda1559758da20d31,2,-2,2,2,-2,1,1,-2,1,first
61cec5d4da1559758da20d42,1,1,2,2,2,1,0,1,1,first
61cfa369da1559758da20d44,79,0,51,105,36,31,22,21,23,first
61cfa380da1559758da20d45,1,1,2,2,2,0,0,0,0,first
61cfb2d1e925849384b1a717,6,0,0,0,4,0,0,0,1,first
61cfd2bdda1559758da20d65,2,4,3,7,6,2,3,4,5,first
61cfda44da1559758da20d70,3,1,5,2,1,-1,1,-1,-1,first
61d398545d9c1f0444f1ee6b,2,1,2,1,2,1,1,1,1,first
61d3a9b5ee94896a5ac0e776,0,0,0,0,0,3,-2,3,2,first
61d3acf2ee94896a5ac0e77c,1,-1,2,2,3,1,-2,2,1,first
61d3b7785d9c1f0444f1ee8f,2,2,2,2,2,1,2,2,2,first
61d3ba75ee94896a5ac0e796,4,2,6,7,7,4,3,2,3,first
61d3cae65d9c1f0444f1eea9,5,4,4,21,14,0,0,0,0,first
61d3d238ee94896a5ac0e7b0,-2,1,1,1,1,2,1,2,0,first
61d42584147b65eda6b6d92d,2,-1,2,-1,1,0,1,1,0,first
61d4404c147b65eda6b6d93a,1,-1,-1,1,1,-1,2,1,0,first
