userId,donation_i_veteran,donation_a_pets,donation_d_environment,donation_e_health,donation_b_art,donation_c_education,donation_f_human,donation_g_international,donation_h_faith
61cce034ba78498af54e5e15,0,0,0,0,0,0,5,0,0
61cce3afba78498af54e5e19,1,1,1,1,1,1,1,1,1
61cce5dd2abead1afecf8b71,5,5,5,0,5,5,5,5,0
61cce84a2abead1afecf8b77,0,5,1,5,2,10,5,5,2
61ccf2ec2abead1afecf8b86,2,5,5,5,3,5,3,5,2
61ccf5082abead1afecf8b8c,0,0,0,0,0,0,0,0,0
61ccfcefba78498af54e5e31,0,0,2,5,0,3,3,2,0
61ce4075a12dae9518a23036,0,0,0,0,0,0,0,0,0
61ce407d35a31ef7490adf1a,0,0,0,2,0,0,2,0,5
61ce40a935a31ef7490adf1b,1,0,1,1,0,0,1,1,1
61ce411135a31ef7490adf1e,1,0,0,2,0,0,1,0,1
61ce41a135a31ef7490adf20,0,0,2,3,0,0,0,0,0
61ce423335a31ef7490adf23,0,0,5,5,0,5,5,5,0
61ce4325a12dae9518a23042,8,10,1,5,1,0,0,10,0
61ce4643a12dae9518a2305d,0,0,0,1,1,1,1,0,0
61ce472e35a31ef7490adf44,5,0,0,1,0,0,1,0,2
61ce4a1035a31ef7490adf51,0,1,0,1,0,1,0,0,0
61ce4ea4a12dae9518a23082,0,10,10,5,0,0,5,0,0
61ce4f51a12dae9518a23087,2,0,0,0,0,1,2,0,0
61ce4f6da12dae9518a23088,0,0,10,10,0,0,5,0,0
61ce4fae35a31ef7490adf62,5,1,1,5,10,5,1,5,2
61ce5a7e35a31ef7490adf9e,3,2,1,1,1,1,1,2,1
61ce5e3035a31ef7490adfae,0,0,0,0,0,5,0,0,0
61ce5fbaa12dae9518a230cd,5,2,3,2,3,10,3,2,5
61ce6056a12dae9518a230cf,5,5,5,5,0,5,5,5,0
61ce60b4a12dae9518a230d2,0,0,10,0,5,5,5,5,5
61ce6317a12dae9518a230de,3,2,5,5,5,2,3,5,5
61ce633735a31ef7490adfc8,0,0,0,0,0,0,0,0,0
61ce6576a12dae9518a230e8,5,0,0,0,0,0,0,0,0
61ce9263e925849384b1a6ef,0,4,1,10,10,10,0,0,0
61ce9ddbda1559758da20d31,3,2,5,3,2,7,1,4,8
61cec5d4da1559758da20d42,1,0,1,1,0,0,1,0,1
61cfa369da1559758da20d44,0,25,0,0,0,0,0,0,0
61cfa380da1559758da20d45,0,0,0,0,0,0,0,0,0
61cfb2d1e925849384b1a717,0,0,0,0,0,0,0,0,0
61cfd2bdda1559758da20d65,3,10,5,0,2,5,10,0,0
61cfda44da1559758da20d70,0,1,1,3,0,1,0,1,2
61d398545d9c1f0444f1ee6b,2,5,4,5,3,3,5,3,5
61d3a9b5ee94896a5ac0e776,5,10,10,0,0,10,0,0,0
61d3acf2ee94896a5ac0e77c,7,3,4,5,6,4,3,1,2
61d3b7785d9c1f0444f1ee8f,1,1,1,1,1,1,1,1,1
61d3ba75ee94896a5ac0e796,4,7,3,5,2,5,3,1,5
61d3cae65d9c1f0444f1eea9,15,0,10,0,0,10,0,0,0
61d3d238ee94896a5ac0e7b0,0,8,2,6,1,3,3,8,4
61d42584147b65eda6b6d92d,0,0,0,0,0,0,0,0,0
61d4404c147b65eda6b6d93a,4,5,3,0,1,2,4,2,1
